Species,DBH,Trunks,Condition,Cavity Present,Weak Fork,Percentage of Dead Wood,Size of Existing Defect,Hazard Rating,Probability of Failure,Target Impact,Maintenance,Clean,Raise,Reduce,Other,Further Inspection,Consult,Utilities Present,Plant Location,Area,Staff,Location Value,Ground Maintenance,Address,On Street,From Street,To Street,X-Coord,Y-Coord,Inventory Date,Change Date,Last Changed By,UniqueID,Site ID
Acer negundo,18,1,Poor,Yes,No,0 - 25,4 to 20,9,Extremely High,Frequent,Remove,No,No,No,Durable Species,No,No,No,Open or Unrestricted,7,RG,Good,No,"55 X ALEWIFE BROOK PARKWAY Front  4",ALEWIFE BROOK PARKWAY,WOODSTOCK ST,BROADWAY,754968.61,2972767.54,6/17/2009,11/14/2009,Brad Arndt,9255,8896
Acer platanoides,1,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,No,Tree Pit or Planter,2,RG,Good,No,"20 CYPRESS ST Front  1",CYPRESS ST,BEECH ST,CENTRAL ST,762194.52,2965187.34,6/8/2009,11/14/2009,Brad Arndt,7300,5337
Acer platanoides,1,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,7,RG,Good,No,"77 WOODS AVE Front  1",WOODS AVE,NORTH ST,ALEWIFE BROOK PARKWAY,756089.14,2975609.97,6/16/2009,11/14/2009,Brad Arndt,9051,8859
Acer platanoides,1,1,Fair,No,No,None,1 to 4,4,Low,Intermittent,Remove,No,No,No,Durable Species,No,No,No,Above 4,3,RG,Poor,No,"59 OXFORD ST Front  1",OXFORD ST,TRULL LANE,CENTRAL ST,763744.32,2966342.6,5/15/2009,11/14/2009,Brad Arndt,4057,798
Acer platanoides,1,1,Fair,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,3,RG,Good,No,"124 LOWELL ST Front  1",LOWELL ST,CROWN ST,BRASTOW AVE,761728.96,2966814.89,6/9/2009,11/14/2009,Brad Arndt,7632,5403
Acer platanoides,1,1,Fair,Yes,No,None,1 to 4,5,Low,Frequent,Maintain,No,No,No,Durable Species,No,No,No,Tree Pit or Planter,7,RG,Good,No,"1208 BROADWAY Front  1",BROADWAY,ENDICOTT AVE,WESTON AVE,756383.29,2972503.82,6/13/2009,11/14/2009,Brad Arndt,8722,8512
Acer platanoides,1,1,Poor,No,No,0 - 25,1 to 4,4,Low,Intermittent,Maintain,No,No,No,Durable Species,No,No,No,Above 4,1,RG,Good,No,"70 INNER BELT RD Front  3",INNER BELT RD,DEAD END,THIRD AVE,769463.76,2962353.97,6/17/2009,11/14/2009,Brad Arndt,9324,8984
Acer platanoides,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,No,Tree Pit or Planter,7,RG,Good,No,"50 HOWARD ST Front  3",HOWARD ST,GORHAM ST,THORNDIKE ST,757063.33,2970224.69,6/11/2009,11/14/2009,Brad Arndt,8363,8049
Acer platanoides,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,3,RG,Good,No,"60 AVON ST Front  1",AVON ST,CENTRAL ST,SCHOOL ST,763350.03,2965952.46,5/15/2009,11/14/2009,Brad Arndt,4144,565
Acer platanoides,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,5,AD,Good,No,"93 HUDSON ST Front  1",HUDSON ST,LOWELL ST,CEDAR ST,762157.17,2967714.67,6/10/2009,11/14/2009,Brad Arndt,1618,5684
Acer platanoides,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,7,AD,Good,No,"43 RUSSELL RD Front  1",RUSSELL RD,WARE ST,DEAD END,756472.45,2973226.06,6/18/2009,11/14/2009,Brad Arndt,3309,7338
Acer platanoides,2,1,Good,No,No,None,1 to 4,4,Low,Intermittent,Maintain,No,Yes,No,Durable Species,No,No,Yes,Tree Pit or Planter,7,AD,Good,No,"51 RUSSELL RD Front  1",RUSSELL RD,WARE ST,DEAD END,756501.85,2973284.87,6/18/2009,11/14/2009,Brad Arndt,3311,7340
